urls,male,female,university,college,intermediate,education_not_required,banking,insurance,security,real_estate,employee,observer,manager,chief_manager,age,min_age,max_age,min_exp,max_exp,min_salary,max_salary
https://careerbuilder.vn/vi/tim-viec-lam/ky-su-thiet-ke-cap-thoat-nuoc-va-phong-chay-chua-chay-hcmc.35B7334B.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,28 - 40,28,40,3,5,17,40
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-huy-dong-von-sl-02.35B7B136.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,3,7,17,25
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kiem-soat-tai-chinh-nganh-bds.35B7B253.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,25 - 32,25,32,2,5,17,25
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-huy-dong-von.35B79B8E.html,0,0,1,0,0,0,1,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,1,2,17,25
https://careerbuilder.vn/vi/tim-viec-lam/quan-1-_-store-development-executive-tieng-nhat-n3-tieng-anh-giao-tiep-_-19892kd.35B7AA88.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,25 - 33,25,33,3,5,16,22
https://careerbuilder.vn/vi/tim-viec-lam/receivable-accounting-vice-team-leader.35B745E5.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,3,7,16,22
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-ke-toan-tn-16tr-20tr.35B7C0DD.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,25 - 35,25,35,3,4,16,20
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-thue-ke-toan-thanh-toan.35B77718.html,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25 - 40,25,40,1,2,16,20
https://careerbuilder.vn/vi/tim-viec-lam/can-tho-ky-su-qs.35B7BAAB.html,1,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,3,5,16,20
https://careerbuilder.vn/vi/tim-viec-lam/ky-su-qs.35B79EF8.html,1,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,0,5,16,20
